iso3,overlay,entity_count,coverage_flag
BRN,tech_platform,0,missing
BRN,telecom,0,missing
BRN,defense,0,missing
BRN,security,0,missing
BRN,finance,0,missing
BRN,critical_infra,0,missing
BRN,energy,0,missing
BRN,none,0,missing
BTN,media,0,missing
BTN,tech_platform,0,missing
BTN,telecom,0,missing
BTN,defense,0,missing
BTN,security,0,missing
BTN,finance,0,missing
BTN,critical_infra,0,missing
BTN,energy,0,missing
BTN,none,2,present
BWA,media,0,missing
BWA,tech_platform,0,missing
BWA,telecom,0,missing
BWA,defense,0,missing
BWA,security,0,missing
BWA,finance,0,missing
BWA,critical_infra,0,missing
BWA,energy,0,missing
BWA,none,6,present
CAF,media,0,missing
CAF,tech_platform,2,present
CAF,telecom,0,missing
CAF,defense,0,missing
CAF,security,0,missing
CAF,finance,0,missing
CAF,critical_infra,0,missing
CAF,energy,0,missing
CAF,none,12,present
CAN,media,0,missing
CAN,tech_platform,3,present
CAN,telecom,0,missing
CAN,defense,0,missing
CAN,security,0,missing
CAN,finance,0,missing
CAN,critical_infra,1,present
CAN,energy,0,missing
CAN,none,14,present
CHE,media,0,missing
CHE,tech_platform,3,present
CHE,telecom,1,present
CHE,defense,0,missing
CHE,security,0,missing
CHE,finance,1,present
CHE,critical_infra,2,present
CHE,energy,0,missing
CHE,none,10,present
CHL,media,0,missing
CHL,tech_platform,5,present
CHL,telecom,0,missing
CHL,defense,0,missing
CHL,security,0,missing
CHL,finance,0,missing
CHL,critical_infra,0,missing
CHL,energy,0,missing
CHL,none,31,present
CHN,media,0,missing
CHN,tech_platform,1,present
CHN,telecom,2,present
CHN,defense,0,missing
CHN,security,0,missing
CHN,finance,1,present
CHN,critical_infra,1,present
CHN,energy,0,missing
CHN,none,9,present
CIV,media,0,missing
CIV,tech_platform,0,missing
CIV,telecom,0,missing
CIV,defense,0,missing
CIV,security,0,missing
CIV,finance,0,missing
CIV,critical_infra,0,missing
CIV,energy,0,missing
CIV,none,6,present
CMR,media,0,missing
CMR,tech_platform,1,present
CMR,telecom,0,missing
CMR,defense,0,missing
CMR,security,0,missing
CMR,finance,0,missing
CMR,critical_infra,0,missing
CMR,energy,0,missing
CMR,none,8,present
COD,media,0,missing
COD,tech_platform,5,present
COD,telecom,0,missing
COD,defense,0,missing
COD,security,0,missing
COD,finance,0,missing
COD,critical_infra,0,missing
COD,energy,0,missing
COD,none,16,present
COG,media,0,missing
COG,tech_platform,3,present
COG,telecom,0,missing
COG,defense,0,missing
COG,security,0,missing
COG,finance,0,missing
COG,critical_infra,0,missing
COG,energy,0,missing
COG,none,12,present
COL,media,0,missing
COL,tech_platform,1,present
COL,telecom,0,missing
COL,defense,0,missing
COL,security,0,missing
COL,finance,0,missing
COL,critical_infra,0,missing
COL,energy,0,missing
COL,none,13,present
COM,media,0,missing
COM,tech_platform,0,missing
COM,telecom,0,missing
COM,defense,0,missing
COM,security,0,missing
COM,finance,0,missing
COM,critical_infra,0,missing
COM,energy,0,missing
COM,none,27,present
CPV,media,0,missing
CPV,tech_platform,0,missing
CPV,telecom,0,missing
CPV,defense,0,missing
CPV,security,0,missing
CPV,finance,0,missing
CPV,critical_infra,0,missing
CPV,energy,0,missing
CPV,none,5,present
CRI,media,0,missing
CRI,tech_platform,3,present
CRI,telecom,0,missing
CRI,defense,0,missing
CRI,security,0,missing
CRI,finance,0,missing
CRI,critical_infra,0,missing
CRI,energy,0,missing
CRI,none,45,present
CUB,media,0,missing
CUB,tech_platform,2,present
CUB,telecom,0,missing
CUB,defense,0,missing
CUB,security,0,missing
CUB,finance,0,missing
CUB,critical_infra,0,missing
CUB,energy,0,missing
CUB,none,33,present
CYP,media,0,missing
CYP,tech_platform,2,present
CYP,telecom,0,missing
