entity_id,name,iso3,sector_code,sector_label,overlay_tags
wd:Q2529830,Vodafone Germany,DEU,,,
wd:Q838929,Amur Shipbuilding Plant,RUS,,,
wd:Q674575,Arla Foods,GBR,,,
wd:Q181912,KLM,,,,
wd:Q708667,MAN Truck & Bus,DEU,,,
wd:Q170614,Ryanair,IRL,,,tech_platform
wd:Q24282966,MONETA Bank,CZE,,,finance
wd:Q666888,Intersport,CHE,,,critical_infra
wd:Q12045462,Pivovary Staropramen,CZE,,,
wd:Q24282825,Raiffeisenbank,CZE,,,"tech_platform,finance"
wd:Q5167707,Obs,NOR,,,
wd:Q27910063,Banka Creditas,CZE,,,finance
wd:Q457503,Globus,DEU,,,
wd:Q249591,Polish State Railways,POL,,,"tech_platform,critical_infra"
wd:Q83835,Swiss Federal Railways,CHE,,,"tech_platform,critical_infra"
wd:Q65091423,Diamondback Energy,USA,,,energy
wd:Q14949324,Česká podnikatelská pojišťovna,CZE,,,
wd:Q12016657,Fio banka,CZE,,,finance
wd:Q2744099,Vertex Pharmaceuticals,USA,,,
wd:Q2392255,Teleperformance,FRA,,,
wd:Q16253487,Hydromash,,,,
wd:Q431077,Mansour Group,,,,
wd:Q12046128,Pojišťovna České spořitelny,CZE,,,
wd:Q698473,Mein Real,DEU,,,
wd:Q56760250,Sony Music,USA,,,
wd:Q4581010,Coop Mega,NOR,,,
wd:Q21349378,PPF Banka,CZE,,,finance
wd:Q762953,Perenco,FRA,,,
wd:Q882871,Stadtwerke München,DEU,,,
wd:Q1566111,HUK-Coburg,DEU,,,
wd:Q230410,Zurich Gruppe Deutschland,DEU,,,
wd:Q668737,Yum! Brands,USA,,,
wd:Q6786143,Matas,DNK,,,
wd:Q30324333,TechnipFMC,GBR,,,
wd:Q680145,Schlecker,DEU,,,
wd:Q10686364,Svitzer,DNK,,,
wd:Q565050,Hamburg Süd,,,,
wd:Q38903,Universal Music Group,,,,
wd:Q794563,Groupe ADP,FRA,,,
wd:Q47099,Grupo Televisa,MEX,,,
wd:Q202210,GameStop,USA,,,
wd:Q795454,Barnes & Noble,USA,,,
wd:Q1202053,Vonovia,DEU,,,
wd:Q156776,Swiss International Air Lines,CHE,,,tech_platform
wd:Q12305436,Carlsberg Danmark,DNK,,,
wd:Q58205936,"NN Životní pojišťovna N.V., pobočka pro Českou republiku",CZE,,,
wd:Q629733,RBC Information Systems,RUS,,,
wd:Q11873534,UPC Czech Republic,CZE,,,
wd:Q790788,Avianca Group,COL,,,
wd:Q187972,Iberia,ESP,,,
wd:Q3429574,Københavns Lufthavne,DNK,,,
wd:Q643578,Fraport,DEU,,,critical_infra
wd:Q10723691,Air Bank,CZE,,,"tech_platform,finance"
wd:Q1164334,DR,DNK,,,
wd:Q12307325,Weco Shipping,DNK,,,
wd:Q111546,Ipsen,FRA,,,
wd:Q4231576,Chemical Automatics Design Bureau,RUS,,,
wd:Q33046790,Heineken Česká republika,CZE,,,
wd:Q322598,Galeria Kaufhof,DEU,,,
wd:Q4179033,Yakutian Railway,RUS,,,"tech_platform,critical_infra"
wd:Q2380266,Solidcore Resources,KAZ,,,
wd:Q2052213,Douglas Holding,DEU,,,
wd:Q55873971,ING Bank ČR,CZE,,,finance
wd:Q3526589,Tikhomirov Scientific Research Institute of Instrument Design,RUS,,,tech_platform
wd:Q4827537,AvalonBay,USA,,,
wd:Q1613532,Hermes,DEU,,,
wd:Q11177437,Národní rozvojová banka,CZE,,,finance
wd:Q110254058,Valmont CR,CZE,,,
wd:Q82229,Rocket Internet SE,DEU,,,tech_platform
wd:Q4537565,Yamal Railway,RUS,,,"tech_platform,critical_infra"
wd:Q781770,Austrian Airlines,AUT,,,tech_platform
wd:Q24282770,Equa bank,CZE,,,finance
wd:Q25927159,Crimea Railway,RUS,,,"tech_platform,critical_infra"
wd:Q67549390,Richter + Frenzel,CZE,,,
wd:Q808353,Barmenia,DEU,,,
wd:Q1273099,HanseMerkur Versicherungsgruppe,,,,
wd:Q667613,Daily Mail and General Trust,GBR,,,tech_platform
wd:Q1329463,Quiksilver,FRA,,,
wd:Q10403918,Akademibokhandeln,SWE,,,
wd:Q20529164,Bolt,EST,,,
wd:Q185620,ABS Jets,CZE,,,
wd:Q1251215,Minsk Automobile Plant,BLR,,,telecom
wd:Q153571,Brussels Airlines,BEL,,,tech_platform
wd:Q136331,NOS,PRT,,,
wd:Q1422444,Fjord Line,NOR,,,
wd:Q903328,Orion Corporation,FIN,,,
wd:Q425956,T-Mobile Polska,POL,,,telecom
wd:Q30338585,"Thermo Fisher Scientific Baltics, UAB",LTU,,,
wd:Q204268,LOT Polish Airlines,POL,,,tech_platform
wd:Q2463547,TÜV Nord,DEU,,,
wd:Q240656,Q240656,ROU,,,
wd:Q7394933,SThree,GBR,,,
wd:Q1432106,Flughafen München GmbH,DEU,,,
wd:Q378849,Navantia,ESP,,,
wd:Q913248,VR Group,FIN,,,
wd:Q1451171,Royal Arctic Line,GRL,,,
wd:Q742422,PKP Cargo,POL,,,
wd:Q738412,Mercator,SVN,,,
wd:Q921442,Železnici na Republika Severna Makedonija Transport,MKD,,,critical_infra
wd:Q11179646,Česká exportní banka,CZE,,,"finance,critical_infra"
wd:Q1258776,DREWAG,DEU,,,
wd:Q525359,Société Nationale des Chemins de Fer Luxembourgeois,LUX,,,
wd:Q2646455,Royal Dutch Touring Club ANWB,,,,
wd:Q5969981,IDEA Public Schools,USA,,,
wd:Q2537139,Württembergische Gemeinde-Versicherung,DEU,,,
wd:Q2408854,Thalia,DEU,,,
wd:Q1313036,Ford Foundation,USA,,,
wd:Q497860,Hanwha Ocean,KOR,,,
wd:Q846655,Israel Railways,ISR,,,"tech_platform,critical_infra"
wd:Q4654142,ASC Pty Ltd,AUS,,,
wd:Q3407445,Promutuel Assurance,CAN,,,
wd:Q1759946,QinetiQ,GBR,,,
wd:Q23827008,eMAG,ROU,,,
wd:Q851963,Leo Express,CZE,,,media
wd:Q1197895,Pennsylvania Railroad,USA,,,"tech_platform,critical_infra"
wd:Q1063513,Legoland Billund,DNK,,,
wd:Q4403233,STV,RUS,,,media
wd:Q104845916,California Water Service Group,USA,,,
wd:Q192653,Czech Airlines,CZE,,,tech_platform
wd:Q16424911,Samskip,,,,
wd:Q2838252,Eg3 Combustibles S.A.,ARG,,,
wd:Q4304443,Q4304443,RUS,,,
wd:Q1433222,Flughafen Wien AG,AUT,,,
wd:Q927272,NKD,DEU,,,
wd:Q5507291,Fuglsang,DNK,,,
wd:Q4697690,AirTanker Services Limited,GBR,,,tech_platform
wd:Q17077936,Lyft,USA,,,
wd:Q590406,PKP Intercity,POL,,,
wd:Q12045395,Family Brewery Bernard,CZE,,,
wd:Q93360302,WOOD & Company Financial Services,CZE,,,finance
wd:Q3198815,Orange Slovensko,SVK,,,
wd:Q790756,Barrandov Studios,CZE,,,
wd:Q6216567,Despegar,ARG,,,
wd:Q976053,Egis Pharmaceuticals,HUN,,,
wd:Q12054668,Slavia pojišťovna,CZE,,,
wd:Q5357475,Electric Reliability Council of Texas,USA,,,energy
wd:Q102123178,KIPP Texas Public Schools,USA,,,
wd:Q1668901,Wielton,POL,,,
wd:Q4783384,Arabian Shield Cooperative Insurance Company,SAU,,,finance
wd:Q164914,"Lietuvos geležinkeliai, AB",LTU,,,tech_platform
wd:Q2328644,Stadtwerke Ulm/Neu-Ulm,DEU,,,
wd:Q104425862,Lidl Latvija,LVA,,,media
wd:Q22927016,Gewobag,DEU,,,
wd:Q11332391,FIAMM,ITA,,,
wd:Q766616,Slovenske železnice,SVN,,,
wd:Q28877433,RSJ Securities,CZE,,,
wd:Q4810402,Assuranceforeningen Skuld,NOR,,,
wd:Q1970265,NPO Molniya,RUS,,,
wd:Q1586376,Q1586376,LVA,,,
wd:Q28721273,Visma in Finland,FIN,,,
wd:Q933681,Flughafen Berlin Brandenburg GmbH,DEU,,,
wd:Q7983116,Weqaya,SAU,,,
wd:Q172108,oodji,RUS,,,
wd:Q7571339,Southwest Power Pool,USA,,,critical_infra
wd:Q341118,Czech News Agency,CZE,,,media
wd:Q11228089,Bontonfilm,CZE,,,
wd:Q1742438,Kulmbacher Brewery,DEU,,,
wd:Q135189065,Baker Tilly France,FRA,,,
wd:Q27479372,N26,DEU,,,
wd:Q648034,Bavaria Film,DEU,,,
wd:Q1517919,Heise Group,DEU,,,
wd:Q3337111,Nature & Découvertes,FRA,,,
wd:Q153546,Augustiner Bräu,DEU,,,
wd:Q4980769,Bryggeriet Vestfyen,DNK,,,
wd:Q131346415,New Hampshire Electric Cooperative,USA,,,energy
wd:Q1473229,Ural Automotive Plant,RUS,,,
wd:Q65557112,Dune London,,,,
wd:Q248645,Q248645,AUT,,,
wd:Q106451969,Egil Ulvan Rederi,NOR,,,
wd:Q327094,Latvian Railways,LVA,,,"media,tech_platform,critical_infra"
wd:Q679912,Soyuzmultfilm,RUS,,,
wd:Q15854344,Q15854344,AUT,,,
wd:Q4691850,Age UK,GBR,,,
wd:Q118799213,Goodwill,GEO,,,
wd:Q1565911,"Museum of Fine Arts, Houston",USA,,,
wd:Q326282,Université du Québec,CAN,,,
wd:Q5038832,CareFlight,AUS,,,
wd:Q7975272,"WaveDivision Holdings, LLC",USA,,,
wd:Q111212527,CMA CGM Air Cargo,FRA,,,tech_platform
wd:Q12045420,Pardubický pivovar,CZE,,,
wd:Q170127,Märklin,DEU,,,
wd:Q876720,Via Rail,CAN,,,"tech_platform,critical_infra"
wd:Q1806416,National Fire Protection Association,USA,,,
wd:Q312653,German Press Agency,DEU,,,media
wd:Q1254031,Dr. Richard,AUT,,,
wd:Q6813261,Melnitsa Animation Studio,RUS,,,
wd:Q7499840,Shock Trauma Air Rescue Service,CAN,,,tech_platform
wd:Q11903664,Abacus Cooperativa,ESP,,,
wd:Q16536253,Beloretsk Iron and Steel Works,RUS,,,
wd:Q4009482,Venchi,ITA,,,
wd:Q40987,Pininfarina,ITA,,,
wd:Q5583655,Goodwill Industries,USA,,,
wd:Q680662,Austria Press Agency,AUT,,,media
wd:Q8059214,Youth Hostels Association (England & Wales),GBR,,,
wd:Q65209976,Q65209976,ESP,,,
wd:Q16960205,Achievement First,USA,,,
wd:Q2328453,Stadtwerke Dachau,DEU,,,
wd:Q17651307,Woodbrass,,,,
wd:Q3021009,Decitre,FRA,,,
wd:Q705676,Babelsberg Studio,DEU,,,
wd:Q57729027,GEWOBAU Erlangen,DEU,,,
wd:Q2076935,Munich,ESP,,,
wd:Q1635722,Pew Research Center,USA,,,tech_platform
wd:Q106783182,Gepard Express,CZE,,,media
wd:Q40322,Radio Free Asia,USA,,,media
wd:Q847141,Q847141,FRA,,,
wd:Q781404,Australian Film Television and Radio School,AUS,,,media
wd:Q5963343,Cooperativa La Fageda,ESP,,,
wd:Q2826551,Agence Éducation et Formation,FRA,,,
wd:Q786168,Autobus Sippel GmbH,DEU,,,
wd:Q83728,Australian Associated Press,AUS,,,media
wd:Q671267,Kuehne + Nagel,CHE,,,
wd:Q3072105,Filmin,ESP,,,
wd:Q30889878,isybank,ITA,,,finance
wd:Q3520257,The Children's Place,USA,,,
wd:Q104535435,Debra UK,GBR,,,
wd:Q131561641,Thames Hospice,GBR,,,
wd:Q20001634,Global Impact Investing Network,USA,,,
wd:Q105659051,National Health Co-op,AUS,,,
wd:Q113816797,City Air Terminal Betriebsgesellschaft m.b.H,AUT,,,tech_platform
wd:Q723759,Terrence Higgins Trust,GBR,,,
wd:Q104907477,Seres Group,CHN,,,
wd:Q516134,Royal Porcelain Manufactory,,,,tech_platform
wd:Q6053689,International Students House,GBR,,,
wd:Q2387470,Taeter Aachen,DEU,,,
wd:Q48748611,Pathé Live,FRA,,,
wd:Q12032384,KŽC Doprava,CZE,,,
wd:Q130244409,Sustainable Economies Law Center,USA,,,tech_platform
wd:Q5325477,Ealing Community Transport,GBR,,,critical_infra
wd:Q783179,Cattolica Assicurazioni,ITA,,,
wd:Q105384080,West Whitlawburn Housing Co-operative,GBR,,,
wd:Q6736399,Maine Maritime Museum,USA,,,tech_platform
wd:Q22906965,Mintos Marketplace,LVA,,,
wd:Q7541831,Slovenian Press Agency,SVN,,,media
wd:Q1860208,National University of Ireland,IRL,,,
wd:Q5318596,Dyfed Archaeological Trust,GBR,,,
wd:Q124792585,Arkansas Regional Innovation Hub,USA,,,
wd:Q67197464,101 Drogerie,SVK,,,
wd:Q63194061,York Entrepreneurship Development Institute,CAN,,,
wd:Q201821,Finnair,FIN,,,tech_platform
wd:Q4914648,Bioregional,GBR,,,
wd:Q7889883,United States Federation of Worker Cooperatives,USA,,,
wd:Q20712278,Oregon Coast Scenic Railroad,USA,,,"tech_platform,critical_infra"
wd:Q83832,Trainkos,,,,tech_platform
wd:Q721162,Telstra,AUS,,,
wd:Q7999857,Wikimedia UK,GBR,,,media
wd:Q5566530,Glamorgan-Gwent Archaeological Trust,GBR,,,
wd:Q16557629,Fratelli Beretta,ITA,,,
wd:Q5136791,Clwyd-Powys Archaeological Trust,GBR,,,
wd:Q47170723,Som Connexió,ESP,,,
wd:Q5623820,Gwynedd Archaeological Trust,GBR,,,
wd:Q6647749,Literature Wales,GBR,,,
wd:Q7758058,The Present Company,USA,,,
wd:Q28450799,Purism,USA,,,
wd:Q21153392,American Genre Film Archive,USA,,,
wd:Q116234331,Liverpool Meals on Wheels,AUS,,,
wd:Q100343403,Q100343403,UKR,,,
wd:Q116377459,Castlegate Arts Limited,GBR,,,
wd:Q106420412,SHRUB Coop,GBR,,,
wd:Q7053882,North American Students of Cooperation,USA,,,
wd:Q4788862,Arena,AUS,,,
wd:Q2590482,Hjo–Stenstorps Järnväg,SWE,,,
wd:Q111061358,Q111061358,FRA,,,
wd:Q131542355,Seventh Gallery,AUS,,,
wd:Q3285345,Manchester Literary and Philosophical Society,GBR,,,
wd:Q4705469,Cinenova,GBR,,,
wd:Q55840983,Black Theatre Co-operative,GBR,,,
wd:Q5602215,GreenNet,GBR,,,
wd:Q125632436,Katanning Miniature Railway Inc.,AUS,,,"tech_platform,critical_infra"
wd:Q106766537,South Leinster Co-Operative Housing Society Ltd.,IRL,,,
wd:Q520174,Karlsberg,DEU,,,
wd:Q116958159,Prisma Life,LIE,,,
wd:Q19814222,MK2,FRA,,,
wd:Q7020906,Nexstar Media Group,USA,,,media
wd:Q2125485,Radeberger Group,DEU,,,
wd:Q130549276,Qianjiang Group,CHN,,,
vparty_216,Party of the Democratic Revolution,MEX,,,
vparty_446,Ecologist Green Party of Mexico,MEX,,,
vparty_696,National Action Party,MEX,,,
vparty_1241,Labor Party,MEX,,,
vparty_1331,Convergence / Citizens' Movement,MEX,,,
vparty_1474,Institutional Revolutionary Party,MEX,,,
vparty_1981,Mexican Communist Party,MEX,,,
vparty_1983,National Democratic Front,MEX,,,
vparty_1988,Alliance for Mexico 2000,MEX,,,
vparty_6110,National Regeneration Movement,MEX,,,
vparty_6113,Social Encounter Party,MEX,,,tech_platform
vparty_93415,alliance: Alanza por el Cambio,MEX,,,
vparty_93416,alliance: Coalition for the Good of All,MEX,,,
vparty_93417,alliance: Alliance for Mexico (2006),MEX,,,
vparty_3725,Party for Democracy and Development through Unity,SUR,,,
vparty_3726,Political Wing of the FAL,SUR,,,
vparty_3727,Renewed Progressive Party,SUR,,,
vparty_3728,Basic Party for Renewal and Democracy,SUR,,,
vparty_3729,Democratic Alternative,SUR,,,
vparty_3730,Democratic National Platform 2000,SUR,,,tech_platform
vparty_3731,National Democratic Party,SUR,,,
vparty_5504,Pendawa Lima,SUR,,,
vparty_5515,National Party of Suriname,SUR,,,
vparty_5799,New Front for Democracy and Development,SUR,,,
vparty_5800,Progressive Reform Party / United Hindustani Party,SUR,,,
vparty_5931,Party for National Unity and Solidarity,SUR,,,
vparty_5932,People's Alliance for Progress,SUR,,,
vparty_6076,Progressive Workers' and Farmers' Union,SUR,,,
vparty_6079,A-Combination,SUR,,,
vparty_6848,National Party Combination,SUR,,,
vparty_6849,Nationalist Republican Party,SUR,,,
vparty_6850,Surinamese Democratic Party,SUR,,,
vparty_6851,Progressive National Party,SUR,,,
vparty_6852,Action Front,SUR,,,
vparty_6853,Progressive Surinamese People's Party,SUR,,,
vparty_6854,Action Group,SUR,,,
vparty_7176,Progessive Socialist Party,SUR,,,tech_platform
vparty_7177,Indonesian People's Party,SUR,,,
vparty_7178,Progressive Bush Negro Party,SUR,,,
vparty_7179,Democrats of the 21st Century,SUR,,,
vparty_7180,Meeting Point 2000,SUR,,,
vparty_7181,New Suriname,SUR,,,
vparty_7182,Surinamese Labour Party,SUR,,,
vparty_7183,Brotherhood and Unity in Politics,SUR,,,
vparty_7296,Unity Front,SUR,,,
vparty_93486,alliance: VHP-bloc,SUR,,,
vparty_93487,alliance: PNP-bloc,SUR,,,
vparty_93488,alliance: United Democratic Party,SUR,,,
vparty_93489,alliance: Front for Democracy and Development,SUR,,,
vparty_93490,alliance: Millennium Combination,SUR,,,
vparty_93491,alliance: Mega Combinatie,SUR,,,
vparty_93492,alliance: VolksAlliantie (2010),SUR,,,
vparty_93493,alliance: VHP/V7,SUR,,,
vparty_93600,alliance: Alliantie,SUR,,,
vparty_93601,alliance: A1,SUR,,,
vparty_199,Farmers' League / Centre Party,SWE,,,
vparty_343,New Democracy,SWE,,,
vparty_409,Sweden Democrats,SWE,,,
vparty_456,Greens,SWE,,,
vparty_487,Social Democrats,SWE,,,tech_platform
vparty_651,Christian Democrats,SWE,,,
vparty_690,Right Party / Moderate Party,SWE,,,
vparty_830,Left Party / Communist Party,SWE,,,
vparty_1274,The Liberals/The People’s Party,SWE,,,
vparty_1909,Farmers' Union,SWE,,,
vparty_1959,Socialist Party,SWE,,,tech_platform
vparty_4339,Lantmanna Party,SWE,,,
vparty_4651,Free-minded National Association / Free-minded People's Party,SWE,,,
vparty_29,Social Democratic Party of Switzerland,CHE,,,tech_platform
vparty_308,Swiss People's Party,CHE,,,
vparty_360,Radical Democratic Party,CHE,,,
vparty_444,Liberal Party of Switzerland,CHE,,,
vparty_669,Swiss [Communist] Party of Labour,CHE,,,
vparty_1006,Green Party,CHE,,,
vparty_1194,Independents Alliance,CHE,,,
vparty_1311,Automobile Party / Freedom Party of Switzerland,CHE,,,telecom
vparty_1415,Conservative Democratic Party of Switzerland,CHE,,,
vparty_1759,Green Liberal Party,CHE,,,
vparty_1808,Catholic Conservative / Christian Democratic Peoples Party,CHE,,,
vparty_2311,National Democratic Congress,GHA,,,
vparty_2312,New Patriotic Party,GHA,,,
vparty_2704,independent,GHA,,,
vparty_3660,Convention People's Party,GHA,,,
vparty_4732,Northern People's Party,GHA,,,
vparty_4733,Ghanaian National Liberation Movement,GHA,,,tech_platform
vparty_4833,Progress Party,GHA,,,
vparty_4834,National Alliance of Liberals,GHA,,,
vparty_4837,People's National Party,GHA,,,
vparty_4838,Popular Front Party,GHA,,,
vparty_4839,United National Convention,GHA,,,
vparty_4840,Action Congress Party,GHA,,,
vparty_4842,National Convention Party,GHA,,,
vparty_6593,United Gold Coast Convention,GHA,,,
vparty_1038,Democratic Alliance,ZAF,,,
vparty_1219,African National Congress,ZAF,,,
vparty_1289,National Party,ZAF,,,
vparty_1609,Conservative Party,ZAF,,,
vparty_1630,Inkatha Freedom Party,ZAF,,,
vparty_2923,independent,ZAF,,,
vparty_4546,Congress of the People,ZAF,,,
vparty_4547,Democratic Party,ZAF,,,
vparty_4548,Economic Freedom Fighters,ZAF,,,
vparty_5197,Labour Party,ZAF,,,
vparty_5251,South African Party,ZAF,,,
vparty_5253,Unionist Party,ZAF,,,
vparty_5254,United Party,ZAF,,,
vparty_5255,Progressive Federal Party,ZAF,,,
vparty_5731,New National Party,ZAF,,,
vparty_5732,Afrikaner Party,ZAF,,,
vparty_5733,Dominion Party,ZAF,,,
vparty_5734,New Republic Party,ZAF,,,
vparty_6291,Reconstituted National Party,ZAF,,,
vparty_6425,Roos Party,ZAF,,,
vparty_3,Japan Socialist Party / Social Democratic Party,JPN,,,tech_platform
vparty_13,Liberal Party,JPN,,,
vparty_88,Japan New Party,JPN,,,
vparty_91,Right Wing Socialist Party,JPN,,,tech_platform
vparty_136,Progressive / Democratic / Reform Party,JPN,,,
vparty_239,Left Wing Socialist Party,JPN,,,tech_platform
vparty_282,New Frontier Party,JPN,,,
vparty_736,Japan Communist Party,JPN,,,
vparty_778,Japan Democratic Party,JPN,,,
vparty_867,Democratic Socialist Party,JPN,,,tech_platform
vparty_935,Liberal Party (Hatoyama),JPN,,,
vparty_1100,Putting People's Lives First,JPN,,,
vparty_1109,Japan Renewal Party,JPN,,,
vparty_1304,National Cooperative Party,JPN,,,
vparty_1435,Japan Liberal Party,JPN,,,
vparty_1515,Clean Government Party / New Komeito,JPN,,,
vparty_1746,Liberal Democratic Party,JPN,,,
vparty_1777,Your Party,JPN,,,
vparty_1804,Democratic Party of Japan,JPN,,,
vparty_2080,Japan Restoration [Innovation] Party,JPN,,,
vparty_2439,Seiyūkai Club,JPN,,,tech_platform
vparty_2748,independent,JPN,,,
vparty_4366,Constitution of Friends Association,JPN,,,
vparty_4367,Constitutional Democratic Party,JPN,,,
vparty_4382,Socialist Masses Party,JPN,,,tech_platform
vparty_4479,Orthodox Constitutional Government Party / Constitutional National Party / Reformist Club,JPN,,,
vparty_4480,Constitutional Association of Allies / Constitutional Like-Minded Thinker's Association,JPN,,,
vparty_4481,Impartiality Society,JPN,,,
vparty_4482,Central Club,JPN,,,
vparty_4483,Yuko Club,JPN,,,
