dataset,source_column,output_column
vdem,v2xeg_eqaccess_codelow,vdem__v2xeg_eqaccess_codelow
vdem,v2xeg_eqaccess_codehigh,vdem__v2xeg_eqaccess_codehigh
vdem,v2xeg_eqaccess_sd,vdem__v2xeg_eqaccess_sd
vdem,v2xeg_eqdr,vdem__v2xeg_eqdr
vdem,v2xeg_eqdr_codelow,vdem__v2xeg_eqdr_codelow
vdem,v2xeg_eqdr_codehigh,vdem__v2xeg_eqdr_codehigh
vdem,v2xeg_eqdr_sd,vdem__v2xeg_eqdr_sd
vdem,v2eltype_0,vdem__v2eltype_0
vdem,v2eltype_1,vdem__v2eltype_1
vdem,v2eltype_2,vdem__v2eltype_2
vdem,v2eltype_3,vdem__v2eltype_3
vdem,v2eltype_4,vdem__v2eltype_4
vdem,v2eltype_5,vdem__v2eltype_5
vdem,v2eltype_6,vdem__v2eltype_6
vdem,v2eltype_7,vdem__v2eltype_7
vdem,v2eltype_8,vdem__v2eltype_8
vdem,v2eltype_9,vdem__v2eltype_9
vdem,v2elcomvot,vdem__v2elcomvot
vdem,v2elfemrst,vdem__v2elfemrst
vdem,v2elage,vdem__v2elage
vdem,v2elgvsuflvl,vdem__v2elgvsuflvl
vdem,v2elsuffrage,vdem__v2elsuffrage
vdem,v2elwestmon,vdem__v2elwestmon
vdem,v2asuffrage,vdem__v2asuffrage
vdem,v2fsuffrage,vdem__v2fsuffrage
vdem,v2msuffrage,vdem__v2msuffrage
vdem,v2eldonate,vdem__v2eldonate
vdem,v2eldonate_codelow,vdem__v2eldonate_codelow
vdem,v2eldonate_codehigh,vdem__v2eldonate_codehigh
vdem,v2eldonate_sd,vdem__v2eldonate_sd
vdem,v2eldonate_osp,vdem__v2eldonate_osp
vdem,v2eldonate_osp_codelow,vdem__v2eldonate_osp_codelow
vdem,v2eldonate_osp_codehigh,vdem__v2eldonate_osp_codehigh
vdem,v2eldonate_osp_sd,vdem__v2eldonate_osp_sd
vdem,v2eldonate_ord,vdem__v2eldonate_ord
vdem,v2eldonate_ord_codelow,vdem__v2eldonate_ord_codelow
vdem,v2eldonate_ord_codehigh,vdem__v2eldonate_ord_codehigh
vdem,v2eldonate_mean,vdem__v2eldonate_mean
vdem,v2eldonate_nr,vdem__v2eldonate_nr
vdem,v2elpubfin,vdem__v2elpubfin
